Description,Rule set,Rule,,,,,,Rule set,Rule
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'speInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'IssuePaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'IssuePaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'IssuePaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'meetingPaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'MeetingPaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'MeetingPaperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'booksInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'booksInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'booksInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'techReport' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'techReport' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'techReport' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teacherPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'magazinePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'magazinePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'magazinePaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'waitingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'waitingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'waitingPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'scholarPaper' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'teaAwa' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
